migration_rate,trial_id,Step,Behavior,Count,Prevalence
0,1,40,Cooperate,249,0.564625850340136
0,2,40,Cooperate,325,0.7369614512471655
0,3,40,Cooperate,331,0.7505668934240363
0,4,40,Cooperate,311,0.7052154195011338
0,5,40,Cooperate,365,0.8276643990929705
0,6,40,Cooperate,336,0.7619047619047619
0,7,40,Cooperate,297,0.673469387755102
0,8,40,Cooperate,375,0.8503401360544217
0,9,40,Cooperate,349,0.7913832199546486
0,10,40,Cooperate,335,0.7596371882086168
0,11,40,Cooperate,359,0.8140589569160998
0,12,40,Cooperate,344,0.780045351473923
0,13,40,Cooperate,321,0.7278911564625851
0,14,40,Cooperate,281,0.63718820861678
0,15,40,Cooperate,284,0.6439909297052154
0,16,40,Cooperate,323,0.7324263038548753
0,17,40,Cooperate,300,0.6802721088435374
0,18,40,Cooperate,355,0.8049886621315193
0,19,40,Cooperate,303,0.6870748299319728
0,20,40,Cooperate,316,0.7165532879818595
0.025,21,40,Cooperate,311,0.7052154195011338
0.025,22,40,Cooperate,263,0.5963718820861678
0.025,23,40,Cooperate,266,0.6031746031746031
0.025,24,40,Cooperate,247,0.5600907029478458
0.025,25,40,Cooperate,286,0.6485260770975056
0.025,26,40,Cooperate,306,0.6938775510204082
0.025,27,40,Cooperate,311,0.7052154195011338
0.025,28,40,Cooperate,277,0.6281179138321995
0.025,29,40,Cooperate,277,0.6281179138321995
0.025,30,40,Cooperate,267,0.6054421768707483
0.025,31,40,Cooperate,332,0.7528344671201814
0.025,32,40,Cooperate,218,0.4943310657596372
0.025,33,40,Cooperate,297,0.673469387755102
0.025,34,40,Cooperate,272,0.6167800453514739
0.025,35,40,Cooperate,285,0.6462585034013606
0.025,36,40,Cooperate,224,0.5079365079365079
0.025,37,40,Cooperate,274,0.6213151927437641
0.025,38,40,Cooperate,301,0.6825396825396826
0.025,39,40,Cooperate,282,0.6394557823129252
0.025,40,40,Cooperate,258,0.5850340136054422
0.05,41,40,Cooperate,272,0.6167800453514739
0.05,42,40,Cooperate,231,0.5238095238095238
0.05,43,40,Cooperate,180,0.40816326530612246
0.05,44,40,Cooperate,239,0.5419501133786848
0.05,45,40,Cooperate,5,0.011337868480725623
0.05,46,40,Cooperate,249,0.564625850340136
0.05,47,40,Cooperate,246,0.5578231292517006
0.05,48,40,Cooperate,189,0.42857142857142855
0.05,49,40,Cooperate,225,0.5102040816326531
0.05,50,40,Cooperate,273,0.6190476190476191
0.05,51,40,Cooperate,206,0.4671201814058957
0.05,52,40,Cooperate,241,0.546485260770975
0.05,53,40,Cooperate,285,0.6462585034013606
0.05,54,40,Cooperate,188,0.42630385487528344
0.05,55,40,Cooperate,168,0.38095238095238093
0.05,56,40,Cooperate,257,0.5827664399092971
0.05,57,40,Cooperate,274,0.6213151927437641
0.05,58,40,Cooperate,214,0.4852607709750567
0.05,59,40,Cooperate,226,0.5124716553287982
0.05,60,40,Cooperate,234,0.5306122448979592
0.075,61,40,Cooperate,195,0.4421768707482993
0.075,62,40,Cooperate,197,0.4467120181405896
0.075,63,40,Cooperate,187,0.42403628117913833
0.075,64,40,Cooperate,188,0.42630385487528344
0.075,65,22,Cooperate,5,0.011337868480725623
0.075,66,40,Cooperate,203,0.4603174603174603
0.075,67,40,Cooperate,194,0.4399092970521542
0.075,68,40,Cooperate,223,0.5056689342403629
0.075,69,40,Cooperate,152,0.34467120181405897
0.075,70,40,Cooperate,140,0.31746031746031744
0.075,71,40,Cooperate,159,0.36054421768707484
0.075,72,40,Cooperate,133,0.30158730158730157
0.075,73,40,Cooperate,120,0.272108843537415
0.075,74,40,Cooperate,184,0.41723356009070295
0.075,75,40,Cooperate,79,0.17913832199546487
0.075,76,40,Cooperate,175,0.3968253968253968
0.075,77,40,Cooperate,212,0.48072562358276644
0.075,78,40,Cooperate,111,0.25170068027210885
0.075,79,40,Cooperate,217,0.49206349206349204
0.075,80,40,Cooperate,157,0.35600907029478457
0.1,81,40,Cooperate,175,0.3968253968253968
0.1,82,33,Cooperate,2,0.0045351473922902496
0.1,83,40,Cooperate,167,0.3786848072562358
0.1,84,40,Cooperate,48,0.10884353741496598
0.1,85,40,Cooperate,79,0.17913832199546487
0.1,86,40,Cooperate,24,0.05442176870748299
0.1,87,11,Cooperate,5,0.011337868480725623
0.1,88,40,Cooperate,43,0.09750566893424037
0.1,89,40,Cooperate,60,0.1360544217687075
0.1,90,40,Cooperate,141,0.3197278911564626
0.1,91,40,Cooperate,88,0.19954648526077098
0.1,92,40,Cooperate,35,0.07936507936507936
0.1,93,40,Cooperate,60,0.1360544217687075
0.1,94,40,Cooperate,15,0.034013605442176874
0.1,95,40,Cooperate,82,0.18594104308390022
0.1,96,40,Cooperate,88,0.19954648526077098
0.1,97,16,Cooperate,5,0.011337868480725623
0.1,98,40,Cooperate,33,0.07482993197278912
0.1,99,32,Cooperate,5,0.011337868480725623
0.1,100,40,Cooperate,107,0.24263038548752835
0.125,101,10,Cooperate,3,0.006802721088435374
0.125,102,15,Cooperate,1,0.0022675736961451248
0.125,103,11,Cooperate,4,0.009070294784580499
0.125,104,40,Cooperate,15,0.034013605442176874
0.125,105,15,Cooperate,2,0.0045351473922902496
0.125,106,35,Cooperate,1,0.0022675736961451248
0.125,107,19,Cooperate,3,0.006802721088435374
0.125,108,28,Cooperate,5,0.011337868480725623
0.125,109,29,Cooperate,3,0.006802721088435374
0.125,110,19,Cooperate,6,0.013605442176870748
0.125,111,22,Cooperate,3,0.006802721088435374
0.125,112,40,Cooperate,5,0.011337868480725623
0.125,113,34,Cooperate,1,0.0022675736961451248
0.125,114,40,Cooperate,34,0.07709750566893424
0.125,115,40,Cooperate,44,0.09977324263038549
0.125,116,15,Cooperate,3,0.006802721088435374
0.125,117,19,Cooperate,3,0.006802721088435374
0.125,118,26,Cooperate,3,0.006802721088435374
0.125,119,34,Cooperate,6,0.013605442176870748
0.125,120,31,Cooperate,5,0.011337868480725623
0.15,121,40,Cooperate,17,0.03854875283446712
0.15,122,33,Cooperate,6,0.013605442176870748
0.15,123,17,Cooperate,7,0.015873015873015872
0.15,124,40,Cooperate,5,0.011337868480725623
0.15,125,10,Cooperate,8,0.018140589569160998
0.15,126,17,Cooperate,3,0.006802721088435374
0.15,127,26,Cooperate,5,0.011337868480725623
0.15,128,9,Cooperate,12,0.027210884353741496
0.15,129,32,Cooperate,5,0.011337868480725623
0.15,130,8,Cooperate,8,0.018140589569160998
0.15,131,15,Cooperate,3,0.006802721088435374
0.15,132,16,Cooperate,5,0.011337868480725623
0.15,133,15,Cooperate,7,0.015873015873015872
0.15,134,25,Cooperate,4,0.009070294784580499
0.15,135,12,Cooperate,3,0.006802721088435374
0.15,136,15,Cooperate,2,0.0045351473922902496
0.15,137,26,Cooperate,3,0.006802721088435374
0.15,138,8,Cooperate,1,0.0022675736961451248
0.15,139,19,Cooperate,6,0.013605442176870748
0.15,140,22,Cooperate,3,0.006802721088435374
0.175,141,13,Cooperate,5,0.011337868480725623
0.175,142,27,Cooperate,3,0.006802721088435374
0.175,143,7,Cooperate,8,0.018140589569160998
0.175,144,32,Cooperate,5,0.011337868480725623
0.175,145,7,Cooperate,4,0.009070294784580499
0.175,146,15,Cooperate,3,0.006802721088435374
0.175,147,10,Cooperate,2,0.0045351473922902496
0.175,148,10,Cooperate,3,0.006802721088435374
0.175,149,11,Cooperate,3,0.006802721088435374
0.175,150,15,Cooperate,5,0.011337868480725623
0.175,151,8,Cooperate,10,0.022675736961451247
