coop_cost,trial_id,Step,Behavior,Count,Prevalence,migration_rate
0.3,125,40,Cooperate,4,0.01,0
0.3,126,40,Cooperate,19,0.0475,0
0.3,127,40,Cooperate,4,0.01,0
0.3,128,40,Cooperate,18,0.045,0
0.3,129,40,Cooperate,29,0.0725,0
0.3,130,2,Cooperate,3,0.0075,0
0.3,131,40,Cooperate,12,0.03,0
0.3,132,40,Cooperate,16,0.04,0
0.3,133,2,Cooperate,3,0.0075,0
0.3,134,40,Cooperate,5,0.0125,0
0.3,135,40,Cooperate,17,0.0425,0
0.3,136,40,Cooperate,11,0.0275,0
0.3,137,40,Cooperate,12,0.03,0
0.3,138,40,Cooperate,4,0.01,0
0.3,139,40,Cooperate,10,0.025,0
0.3,140,40,Cooperate,10,0.025,0
